,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Sr,Mo,Cd,Ba,Pb
SH64C Dust t0.5,5.115,183762.324,3862.423,3549.116,7739.025,2237.161,1131.754,126.714,3.997,110.981,2654.478,4.153,9.876,9.365,67.861,1.492,17.591,1.135,0.212,94.805,6.640
SH64C Dust t1,3.220,178764.763,4144.975,3561.680,7000.115,2237.309,1277.021,129.369,3.909,111.645,2559.654,4.288,10.260,10.121,92.915,1.573,20.819,1.317,0.222,98.271,6.696
SH64C Dust t2,2.692,186276.483,4156.701,3941.766,8670.100,2372.741,1315.201,115.226,5.704,106.061,2728.663,4.406,13.477,9.495,118.751,1.681,21.843,1.451,0.242,113.411,6.797
SH64C Dust t3,5.978,179422.668,4517.304,3838.250,8306.734,2280.946,1517.822,122.615,21.777,105.892,2838.052,4.849,37.383,15.679,83.327,1.703,25.057,2.008,0.198,119.534,6.801
SH64C Dust t4,4.628,174968.680,4737.984,3960.399,9587.848,2408.549,1582.335,110.233,90.687,118.625,3461.696,7.276,116.992,10.878,157.723,1.789,26.306,3.209,0.233,128.475,7.367
SH64C Dust t7,5.757,177173.696,5510.911,3862.534,8594.828,2427.493,1901.100,109.507,5.099,121.184,2930.552,4.753,12.449,10.110,92.583,2.166,29.570,1.785,0.283,151.144,7.634
SH64C Dust t9,5.569,180083.198,4842.979,3668.972,8771.246,2479.454,1798.028,127.804,80.941,120.650,3710.666,8.888,171.843,10.468,58.367,2.163,29.882,2.282,0.211,155.518,7.517
SH64C Dust t15,5.664,177127.163,6051.246,3938.291,9749.798,2710.247,2187.670,121.187,5.603,125.099,3159.593,5.287,13.843,9.444,53.133,1.947,34.952,1.850,0.279,181.178,8.220
SH64C Dust t18,5.863,177983.921,5379.378,3874.493,9139.742,2515.120,2019.832,130.011,6.439,115.738,2992.055,4.665,12.751,8.911,43.885,2.236,35.563,1.924,0.231,191.839,7.245
SH64C Dust t23,6.177,190219.348,7210.896,3762.932,15747.932,2532.633,2536.278,97.476,5.804,134.117,3118.999,5.347,14.593,9.766,50.544,1.969,39.313,2.008,0.245,186.438,7.914
SH64C Dust t42,5.454,179536.653,6388.279,3384.698,7811.609,2420.844,2355.701,87.642,5.353,124.819,2841.948,5.319,12.714,8.509,47.070,1.855,42.838,1.998,0.281,241.605,7.638
,,,,,,,,,,,,,,,,,,,,,
Blank,0.295,43.372,3.238,7.428,183.625,32.566,12.453,0.376,0.187,0.083,3.225,0.024,0.337,0.157,0.849,0.002,0.072,0.128,0.018,0.525,0.481
C4_67C Dust t0,1.986,196135.339,37.306,26.508,880.601,5842.544,128.296,1.938,0.956,2.423,18.411,0.316,2.059,1.161,53.332,0.000,0.817,2.800,0.096,5.983,2.041
C4_67C Dust t0.5,3.784,186410.238,2703.881,1124.270,3151.908,5386.734,1031.973,29.257,2.013,21.086,1183.503,1.739,3.721,4.442,40.108,1.628,24.409,2.682,0.093,33.455,4.117
C4_67C Dust t1,3.489,187344.794,3422.288,1574.413,3623.789,5537.203,1280.721,68.104,2.820,28.436,1476.776,2.222,4.558,5.084,45.248,2.051,30.904,2.958,0.115,27.338,4.766
C4_67C Dust t2,3.736,182012.487,4070.331,1462.964,3291.615,5590.592,1501.966,67.496,2.701,30.687,1747.976,2.741,5.888,5.659,108.457,2.265,34.478,2.759,0.079,30.188,5.131
C4_67C Dust t3,3.491,184623.754,4640.569,1703.304,3746.638,5797.449,1681.268,65.633,2.793,37.677,2109.240,3.314,7.938,7.562,117.346,2.695,38.625,2.902,0.133,34.946,5.800
C4_67C Dust t4,4.405,183943.322,5229.981,1485.501,3338.153,5544.740,1841.043,47.803,2.544,45.986,2256.258,3.746,7.253,7.091,50.092,3.143,39.274,2.894,0.124,37.274,6.951
C4_67C Dust t7,4.352,183241.262,5561.913,1558.810,3440.267,5832.099,2011.980,48.730,2.411,45.899,2478.006,4.262,7.697,7.170,41.291,3.376,43.441,3.110,0.130,39.134,7.073
C4_67C Dust t9,5.031,178038.064,5985.002,1940.118,5724.093,5857.462,2150.517,64.625,2.989,52.555,2961.749,4.637,8.984,8.434,33.647,3.491,46.590,3.308,0.123,46.365,7.562
C4_67C Dust t15,5.552,180624.622,5893.900,1661.001,3940.961,5705.384,2189.455,73.668,2.760,58.856,2737.311,4.434,8.714,9.427,45.644,4.570,49.059,3.439,0.190,49.657,7.614
C4_67C Dust t18,6.054,187139.405,5881.087,1466.334,3978.506,5731.170,2224.452,102.541,2.597,60.235,2607.054,4.261,8.691,7.077,33.209,4.758,49.868,3.390,0.111,50.840,7.093
C4_67C Dust t23,4.894,176274.233,7019.055,1782.100,3888.030,5930.964,2663.380,63.137,4.072,78.195,3194.742,5.433,9.841,8.131,35.705,4.385,53.640,3.321,0.148,59.313,8.349
C4_67C Dust t42,5.234,187201.114,7355.086,1693.561,4835.749,6070.776,2860.927,48.393,2.607,74.603,3139.289,5.440,9.439,8.706,24.368,5.159,59.522,3.649,0.147,74.546,8.306
Rinse,,,,,,,,,,,,,,,,,,,,,
Ref5164a,,,,,,,,,,,,,,,,,,,,,
Ref5088,,,,,,,,,,,,,,,,,,,,,
Rinse,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Blank,0.406,39.154,3.070,5.690,160.326,31.038,11.105,0.417,0.186,0.109,2.605,0.027,0.277,0.251,0.996,0.007,0.064,0.152,0.015,0.533,0.508
SH64B Dust t0,3.026,190795.309,12.479,21.320,1010.942,227.998,51.331,1.201,0.891,0.954,18.234,0.179,3.137,0.989,56.355,0.099,0.846,0.779,0.413,32.505,2.962
SH64B Dust t0.5,5.078,186199.874,3763.399,3086.080,6370.342,2073.354,1214.264,99.550,3.876,80.547,2314.466,2.968,8.592,8.868,111.263,1.271,20.639,0.726,0.297,105.966,7.342
SH64B Dust t1,4.585,187684.380,4898.437,3197.607,6849.383,2125.891,1545.109,158.375,4.598,83.646,2558.292,3.168,9.959,10.394,106.821,1.338,24.884,0.942,0.253,116.256,7.959
SH64B Dust t2,6.446,193183.191,4825.914,3551.193,7650.436,2119.131,1567.520,168.406,4.726,74.373,2472.257,2.904,9.647,8.757,89.889,1.420,26.865,0.883,0.255,130.884,7.795
SH64B Dust t3,5.059,189791.812,5334.791,3298.791,7120.759,2239.978,1761.882,115.670,3.885,82.216,2437.080,3.505,10.024,8.406,91.691,1.626,29.178,0.983,0.250,138.488,7.656
SH64B Dust t4,5.332,178607.967,5105.465,3344.470,7365.347,2114.430,1669.870,125.261,3.980,72.923,2697.519,3.203,8.963,9.018,70.697,1.565,30.193,0.947,0.221,134.655,7.675
SH64B Dust t7,5.044,187214.338,6517.686,3573.834,8181.017,2373.259,2009.554,131.008,4.414,97.523,2981.147,3.677,10.203,9.112,68.751,1.834,33.686,1.264,0.176,178.200,8.559
SH64B Dust t9,3.775,186915.883,5707.102,3276.810,7542.656,2191.814,1871.465,78.718,3.827,80.923,2560.328,3.346,9.110,9.272,58.412,1.916,32.878,1.091,0.208,181.714,8.107
SH64B Dust t15,5.142,193274.109,6176.759,3075.672,6653.514,2129.925,2072.228,85.330,3.578,77.114,2546.795,3.441,11.916,10.425,47.699,1.746,36.575,1.280,0.214,199.985,8.179
SH64B Dust t18,6.399,188688.690,6681.197,3730.885,8102.693,2329.877,2220.347,107.282,4.439,88.921,3000.275,3.848,12.550,10.941,50.491,2.127,38.136,1.294,0.239,214.146,8.950
SH64B Dust t23,4.836,192238.439,6656.049,3300.295,7882.139,2158.549,2212.925,124.318,3.768,78.861,2847.469,3.470,9.501,9.631,46.422,2.466,38.194,1.345,0.194,228.429,8.238
SH64B Dust t42,6.301,182503.831,7394.082,3525.861,7982.930,2226.745,2470.388,110.782,3.746,95.141,2889.268,3.909,10.769,9.904,47.636,2.152,40.543,1.441,0.220,235.241,9.101
,,,,,,,,,,,,,,,,,,,,,
Blank,0.540,47.103,2.714,7.223,170.479,31.717,9.389,0.251,0.182,0.077,3.351,0.026,0.284,0.327,0.798,0.005,0.066,0.115,0.017,0.668,0.477
C4_67B Dust t0,2.290,190909.282,19.872,26.491,959.143,224.634,69.221,1.422,0.866,1.232,19.491,0.159,2.299,0.875,44.895,0.059,0.792,0.604,0.483,26.415,2.870
C4_67B Dust t0.5,6.305,193040.194,4058.473,3502.652,7194.757,2290.945,1367.553,140.718,4.455,37.414,2550.466,2.626,6.267,7.813,80.005,1.839,30.068,0.796,0.291,54.144,7.368
C4_67BDust t1,5.346,190984.972,4887.961,3426.001,6596.363,2285.046,1593.273,137.791,6.077,37.576,2918.664,3.161,11.042,53.682,76.042,2.201,39.074,0.869,0.215,50.159,7.751
C4_67B Dust t2,4.868,195243.825,5205.525,3754.711,7102.065,2430.256,1813.953,205.628,5.462,40.975,2951.702,3.251,9.524,8.946,79.314,2.239,40.921,0.894,0.194,54.516,8.198
C4_67B Dust t3,4.242,199726.040,5702.070,3248.523,6866.067,2510.686,1988.653,105.719,4.651,41.089,2992.365,3.667,8.226,9.244,76.658,2.576,45.285,0.883,0.203,54.189,8.500
C4_67B Dust t4,5.286,189880.502,5388.718,2978.087,5890.547,2320.017,1984.445,126.536,4.650,39.086,2845.378,3.640,7.379,9.014,47.550,1.980,46.085,0.989,0.166,53.034,8.639
C4_67BDust t7,6.056,204635.524,6412.530,3179.445,6168.082,2419.737,2209.346,90.168,7.155,46.369,3286.663,4.576,15.976,10.616,68.701,2.688,51.755,1.338,0.186,58.977,8.632
C4_67B Dust t9,5.333,184977.016,6067.862,3282.900,6640.950,2403.255,2188.798,123.644,5.040,48.138,2873.811,4.246,12.198,9.221,47.053,2.203,48.076,1.091,0.184,55.882,9.062
C4_67B Dust t15,5.601,190433.305,6804.161,3393.674,6972.460,2387.167,2463.538,114.156,4.413,51.906,3234.233,4.184,7.528,9.403,42.379,3.119,51.973,1.224,0.144,60.127,9.654
C4_67B Dust t18,6.265,186334.423,6484.081,3356.019,6894.448,2433.552,2350.627,151.873,4.071,53.505,3414.605,3.692,6.639,9.226,47.127,2.910,50.845,0.979,0.102,63.536,7.577
C4_67B Dust t23,4.811,188245.728,7067.918,4111.329,8132.406,2735.240,2608.436,127.528,5.155,56.225,3646.005,3.834,6.785,11.707,47.049,3.573,54.735,0.955,0.099,72.167,8.212
C4_67B Dust t42,6.412,189594.164,7302.955,3715.852,7410.526,2677.486,2688.246,98.778,4.405,57.414,3646.297,3.938,6.795,10.165,42.250,3.820,56.962,1.033,0.119,99.170,8.390
,,,,,,,,,,,,,,,,,,,,,
Blank,0.264,41.062,5.104,5.761,143.331,31.197,19.263,0.275,0.087,0.058,2.764,0.021,0.211,0.162,1.191,0.002,0.087,0.046,0.005,0.320,0.230
SH64D Dust t0,1.518,189174.464,38.242,32.082,935.615,202.574,139.631,2.237,0.586,0.841,12.649,0.146,1.847,1.430,22.445,0.000,0.785,0.713,0.044,6.034,0.966
SH64D Dust t0.5,5.064,175654.134,3077.683,3195.639,6422.896,1943.132,993.453,156.798,3.598,80.845,2268.291,3.411,7.824,7.659,73.589,1.083,16.000,0.747,0.139,84.338,4.649
SH64D Dust t1,5.196,180969.424,4130.346,3011.435,6428.461,2001.420,1340.665,85.526,3.234,100.352,2524.161,3.889,10.400,10.267,103.373,1.376,20.134,0.857,0.161,105.335,5.138
SH64D Dust t2,5.222,188936.230,4220.114,3663.723,8320.118,2182.152,1367.088,232.865,3.985,97.457,2884.415,3.987,9.749,8.030,148.496,1.249,23.655,1.036,0.171,93.959,4.966
SH64D Dust t3,5.005,179268.609,4955.618,2971.440,6411.825,2053.480,1723.631,76.229,3.905,108.419,2480.716,4.418,10.249,8.242,57.619,1.486,24.459,1.228,0.236,102.457,6.385
SH64D Dust t4,3.696,183322.445,4538.795,2905.246,6536.419,1957.997,1630.072,88.582,3.982,104.657,2371.378,4.025,10.070,8.139,104.258,1.327,26.969,1.337,0.259,106.514,6.499
SH64D Dust t7,4.520,181769.284,5047.707,2775.260,7036.776,2039.456,1808.799,82.149,3.586,113.386,2606.199,4.095,9.644,7.715,68.423,1.585,31.532,1.140,0.140,125.366,5.419
SH64D Dust t9,4.667,171947.890,4885.935,2664.477,5238.585,1948.413,1889.903,83.265,3.036,102.413,2338.098,3.923,9.737,7.475,58.934,1.579,30.726,1.207,0.173,124.590,5.419
SH64D Dust t15,4.616,176458.131,5773.225,2855.175,6236.013,2057.663,2269.670,82.475,3.250,111.190,2525.161,4.298,9.868,7.558,38.657,1.394,36.961,1.296,0.137,157.726,5.732
SH64D Dust t18,4.116,186046.172,6181.727,2955.549,5671.161,2128.718,2360.782,104.862,25.115,120.978,2861.466,5.013,30.441,8.797,41.372,1.499,41.617,3.123,0.186,170.070,5.867
SH64D Dust t23,6.222,183785.255,6663.489,2897.358,6134.315,2313.166,2600.592,100.342,16.061,129.074,2794.273,4.612,14.476,8.396,38.573,1.239,44.835,1.593,0.212,186.298,5.983
SH64D Dust t42,4.057,178628.247,7682.842,2205.951,5136.771,1924.247,3058.723,71.225,14.134,147.041,2731.588,4.734,13.169,8.522,35.777,1.329,50.050,1.585,0.197,209.043,6.305
,,,,,,,,,,,,,,,,,,,,,
Blank,0.458,50.099,4.453,3.832,164.299,32.765,16.512,0.259,0.085,0.097,2.128,0.018,0.216,0.152,1.294,0.005,0.067,0.053,0.007,0.287,0.234
C4_67D Dust t0,1.885,188524.568,21.015,14.329,1226.502,17607.581,85.464,1.236,0.412,0.577,7.621,0.106,1.246,0.808,12.939,0.046,0.972,7.404,0.032,24.139,1.101
C4_67D Dust t0.5,2.278,180270.781,1722.355,207.045,1557.529,14851.324,749.470,10.516,1.057,9.272,275.934,0.583,2.622,1.857,30.356,0.770,21.711,7.844,0.096,15.727,2.454
C4_67D Dust t1,2.385,178710.996,2036.475,140.047,1795.429,15404.963,958.377,22.610,0.919,5.531,110.978,0.360,2.039,1.429,59.446,0.729,28.906,7.967,0.109,16.503,2.165
C4_67D Dust t2,2.538,181912.644,2441.306,145.901,1399.403,15311.320,1084.180,13.459,0.655,5.096,158.557,0.353,1.894,1.419,92.004,0.563,33.688,7.871,0.066,16.696,1.133
C4_67D Dust t3,2.991,178605.199,2887.280,224.841,1391.857,15424.340,1269.148,16.735,0.594,6.512,257.927,0.489,1.578,2.760,25.632,0.661,35.961,7.628,0.031,16.889,1.280
C4_67D Dust t4,2.128,179941.060,2975.914,213.189,1502.117,15394.613,1386.741,19.353,0.718,5.810,212.879,0.411,1.801,1.560,26.405,0.873,37.551,7.898,0.026,17.382,1.313
C4_67D Dust t7,3.216,177681.215,4329.979,345.657,1807.766,15432.733,1843.368,25.373,0.847,18.538,726.443,1.166,2.675,3.256,52.204,1.143,43.443,8.043,0.048,22.086,2.036
C4_67D Dust t9,2.947,180241.774,4297.822,411.288,1779.477,15296.758,1863.967,26.767,6.063,18.498,746.631,1.337,6.037,3.017,31.569,1.240,44.145,7.896,0.045,23.525,2.043
C4_67D Dust t15,3.312,181655.575,5143.183,443.257,1939.361,15606.396,2213.924,31.969,1.988,21.792,915.360,1.424,4.029,2.769,17.446,1.301,50.808,8.186,0.050,28.112,2.360
C4_67D Dust t18,2.991,186954.881,5443.567,451.292,2398.820,16065.474,2280.170,63.822,1.355,22.564,967.109,1.552,4.196,3.834,17.614,1.176,52.685,8.334,0.045,30.864,2.507
C4_67D Dust t23,4.013,181186.006,5777.270,574.582,2246.735,15571.969,2498.773,33.450,1.494,28.800,1145.186,1.756,3.488,3.974,27.195,1.341,54.506,8.190,0.052,34.974,2.904
C4_67D Dust t42,4.459,175570.168,6395.083,473.991,2430.102,15611.351,2782.607,39.890,1.714,31.558,1212.088,1.989,4.343,4.647,16.093,1.137,60.712,8.599,0.096,47.218,3.970
,,,,,,,,,,,,,,,,,,,,,
Blank,0.462,51.559,5.170,6.656,177.396,33.964,19.870,0.389,0.204,0.095,2.825,0.030,0.283,0.147,0.868,0.005,0.088,0.121,0.012,0.521,0.518
SH64A Dust t0,2.160,198227.693,15.033,26.243,990.651,235.488,55.527,0.788,1.262,1.447,13.400,0.177,4.730,1.039,89.082,0.000,0.567,0.522,0.783,18.835,4.058
SH64A Dust t0.5,5.871,190882.876,5547.569,2834.278,5791.347,1919.507,1714.716,105.384,3.468,135.121,2803.115,4.255,10.071,6.466,138.278,1.469,25.542,0.598,0.585,103.160,8.189
SH64A Dust t1,4.094,193221.780,8315.712,2809.469,5531.176,2053.524,2911.478,107.321,3.303,197.432,2336.419,4.520,12.262,6.188,100.592,1.390,42.359,0.609,0.462,154.627,7.734
SH64A Dust t2,5.057,188150.834,10105.556,2727.399,5489.359,2052.710,3596.323,101.129,88.495,240.714,2943.011,5.781,75.682,8.291,114.317,1.022,50.795,1.289,0.481,165.770,7.298
SH64A Dust t3,6.159,188893.483,11861.561,2660.810,5371.744,2056.570,4314.946,106.758,7.068,272.003,2672.676,4.564,17.637,6.764,116.015,1.250,58.861,0.660,0.415,191.679,7.721
SH64A Dust t4,4.804,181337.864,12312.893,2268.912,4397.723,1918.392,4623.147,88.944,5.457,288.243,2503.884,4.095,13.367,6.168,78.225,1.019,65.934,0.795,0.405,199.723,7.575
SH64A Dust t7,5.070,189857.568,16319.756,2874.350,5643.516,2293.116,6271.851,116.831,5.754,362.253,2578.875,3.513,13.186,6.097,74.793,0.961,83.458,0.569,0.472,260.936,6.795
SH64A Dust t9,4.856,191696.110,17316.979,2528.266,5308.227,2048.810,6472.025,138.646,5.829,394.857,2574.234,3.216,12.111,6.229,35.006,0.995,87.322,0.512,0.384,274.229,6.639
SH64A Dust t15,5.498,189446.924,20177.010,2360.262,5230.619,2095.618,7647.481,175.476,6.026,418.351,2569.052,3.176,12.309,6.545,59.390,0.882,103.702,0.891,0.361,310.586,7.849
SH64A Dust t18,4.760,188211.211,19992.054,2155.478,4946.341,1937.568,7655.059,127.212,5.537,426.449,2303.322,2.836,11.658,6.012,37.317,0.670,101.632,0.718,0.399,326.286,7.699
SH64A Dust t23,5.944,193748.552,21195.516,2595.134,5460.649,2356.990,8072.043,234.351,5.402,440.389,2686.493,2.822,10.856,6.940,41.557,1.099,113.772,0.529,0.416,357.493,6.563
SH64A Dust t42,6.904,192819.568,21936.064,2317.480,5259.887,2288.041,8945.069,132.903,4.896,444.864,2760.188,2.707,9.739,6.956,31.951,0.932,120.140,0.636,0.380,378.890,6.905
,,,,,,,,,,,,,,,,,,,,,
Blank,0.581,41.468,6.443,4.792,213.174,32.319,22.066,0.370,0.090,0.086,2.327,0.016,0.208,0.642,1.307,0.007,0.107,0.053,0.007,1.324,0.234
C4_67A Dust t0,2.555,199092.140,35.608,23.448,1218.329,215.242,134.325,1.943,0.423,0.825,15.653,0.262,1.553,1.090,71.022,0.036,0.844,0.439,0.905,21.875,3.838
C4_67A Dust t0.5,5.425,187697.700,6750.786,3501.120,6941.490,2395.562,2426.952,139.367,4.162,106.366,2876.170,5.652,11.064,7.598,91.800,1.631,55.990,0.590,0.419,52.502,8.088
C4_67A Dust t1,5.619,191231.581,10115.775,2874.960,5473.023,2457.111,3907.642,109.152,3.454,194.008,3038.454,7.816,14.867,9.933,118.506,1.867,74.177,0.541,0.349,86.987,8.272
C4_67A Dust t2,6.509,188470.379,12279.488,2594.810,4594.806,2283.023,4696.779,108.633,4.148,245.920,3259.008,7.881,18.038,9.746,71.018,2.112,86.152,0.616,0.271,61.163,7.997
C4_67A Dust t3,5.661,180773.347,13571.032,2333.059,4122.986,2167.181,5433.534,95.254,3.381,265.330,3180.702,7.055,15.179,32.576,114.803,1.890,91.773,0.754,0.305,62.815,9.252
C4_67A Dust t4,5.637,190258.511,14394.362,2485.441,5361.354,2285.302,6292.126,106.900,3.380,303.146,3055.878,6.339,14.043,8.033,91.558,1.852,104.611,0.791,0.317,61.388,8.240
C4_67A Dust t7,6.815,186790.812,17270.741,2400.630,5057.365,2391.516,7375.338,160.487,3.661,341.017,3297.087,5.183,12.157,8.285,48.566,1.799,115.052,0.807,0.342,71.161,8.685
C4_67ADust t9,5.253,192985.994,17827.656,2479.472,5059.917,2314.139,7781.833,161.207,3.676,339.041,3066.223,4.621,9.938,7.450,41.617,1.709,114.959,0.774,0.265,67.993,8.817
C4_67A Dust t15,5.521,191673.614,20093.567,2570.473,5520.833,2532.036,8842.576,135.904,3.766,361.490,3207.709,4.069,8.393,11.023,42.768,1.774,135.348,0.758,0.295,79.004,8.183
C4_67A Dust t18,5.406,192566.920,21522.999,2596.564,5528.019,2445.056,9201.669,140.614,4.184,373.237,3355.642,4.437,11.004,86.563,86.724,1.866,138.567,0.763,0.270,81.678,9.748
C4_67A Dust t23,6.313,191820.133,20835.339,2460.861,4964.513,2434.445,9240.152,188.551,3.344,365.200,3051.485,3.831,8.695,7.665,35.360,1.462,142.125,0.814,0.272,78.615,7.711
C4_67A Dust t42,6.212,184667.335,22586.616,2750.606,6253.641,2669.368,9881.586,204.932,4.095,351.699,3347.146,4.033,7.502,9.415,27.016,1.418,151.429,0.819,0.278,90.877,8.370
